ID,y
0,1515.0968
1,1008.5354
2,1197.7411
3,1344.3104
4,1986.8502
5,1767.0812
6,1629.2747
7,1040.7236
8,1564.0282
9,1607.5525
10,1703.7366
11,960.2786
12,1751.1647
13,1532.5841
14,1679.5497
15,1647.2527
16,1746.1627
17,1758.4143
18,1385.3254
19,1510.9474
20,1758.4143
21,1758.4143
22,1474.7507
23,1751.1647
24,1847.3226
25,1243.1472
26,1477.9146
27,1600.357
28,1914.8888
29,1713.3643
30,2268.1848
31,2614.2493
32,1936.411
33,898.4865
34,2109.3599
35,2139.327
36,1144.2822
37,1718.1742
38,1462.8894
39,1642.0023
40,1822.91
41,1864.2697
42,2166.5784
43,1965.0419
44,1796.9781
45,1738.4752
46,1718.1742
47,2130.1042
48,1822.8021
49,2329.719
50,1751.1647
51,1826.8558
52,1960.253
53,2262.2817
54,1786.7856
55,1445.8564
56,1739.1218
57,1222.2559
58,1853.0836
59,2347.9404
60,1394.023
61,1826.8558
62,2040.0238
63,1960.8167
64,1767.3564
65,2368.1711
66,2230.9678
67,1924.1448
68,1786.6079
69,1826.8558
70,2091.4966
71,1875.388
72,864.5163
73,1680.5562
74,2042.2235
75,1312.3284
76,1559.5742
77,1716.8694
78,1955.8794
79,2384.4187
80,1684.5475
81,2401.1467
82,1329.9187
83,2149.7256
84,1137.5049
85,2357.546
86,1222.2559
87,1832.6783
88,2283.954
89,1429.2605
90,1243.1472
91,2190.272
92,1292.8408
93,2132.764
94,1958.4896
95,1826.8558
96,1826.8558
97,2244.277
98,1651.9702
99,1907.1896
100,2174.6116
101,1517.8278
102,1208.9655
103,2114.332
104,1176.3479
105,2072.618
106,1721.3656
107,2385.2075
108,1661.1614
109,1968.3612
110,1566.6477
111,1721.5868
112,2084.0679
113,1394.023
114,2377.6157
115,1564.0282
116,1594.8259
117,1789.3947
118,2132.764
119,1440.6959
120,2394.2383
121,2309.65
122,1222.2559
123,1748.0636
124,2255.0588
125,2333.0876
126,1802.5867
127,1924.407
128,1789.6843
129,1274.7854
130,1916.7102
131,1600.3824
132,1660.7323
133,1572.81
134,2255.0588
135,1748.0636
136,1835.3713
137,1985.8209
138,821.94946
139,2217.2983
140,2423.0933
141,1559.3362
142,1098.6893
143,1880.5162
144,1788.3577
145,1826.8558
146,1596.0214
147,1656.9093
148,2071.202
149,1718.1742
150,2573.4248
151,2153.0032
152,1826.8558
153,1412.6918
154,1924.1904
155,1833.0317
156,1691.6549
157,2040.5449
158,1371.1935
159,1969.9452
160,1700.9952
161,1714.7917
162,1868.0706
163,1667.3898
164,1690.3298
165,2094.0403
166,1676.912
167,2151.8535
168,2113.3135
169,1025.8123
170,915.54047
171,1368.1024
172,1883.2426
173,2115.549
174,1599.1278
175,1471.768
176,1326.7151
177,1120.5497
178,1783.7483
179,1703.7366
180,1612.296
181,1972.8632
182,1641.8497
183,1782.18
184,2263.9905
185,1997.4
186,1474.6442
187,1523.2797
188,1739.5371
189,2422.9944
190,1563.6235
191,1524.4429
192,1388.4669
193,1708.4525
194,1948.7313
195,1788.3951
196,1300.4363
197,1598.356
198,1471.2756
199,2174.0283
200,2394.2383
201,1049.6538
202,2142.8616
203,1107.8818
204,1484.2649
205,1626.3627
206,1949.1263
207,2151.8535
208,2151.8535
209,2245.0566
210,1741.0627
211,1948.4597
212,1908.8848
213,1384.1012
214,1892.1687
215,1862.2743
216,1990.0896
217,1583.9724
218,1590.0966
219,2408.7627
220,1837.655
221,2318.2883
222,2250.914
223,1932.8615
224,2014.0951
225,1253.1064
226,1232.2809
